date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:32:07	44829/44829	---M--	200	added ('OK')	image/png	etag:%22af1d-5c39e4ac18980%22	https://www.travocrm.com/media/download/1.png	C:/My%20Web%20Sitesh/hii/www.travocrm.com/media/download/1.png	(from https://www.travocrm.com/)
15:32:07	104310/104310	---M--	200	added ('OK')	image/png	etag:%2219776-5c39e59d602c0%22	https://www.travocrm.com/media/download/2.png	C:/My%20Web%20Sitesh/hii/www.travocrm.com/media/download/2.png	(from https://www.travocrm.com/)
15:32:07	24648/24648	---M--	200	added ('OK')	image/png	etag:%226048-5a29c12d37880%22	https://www.travocrm.com/media/background/dot.png	C:/My%20Web%20Sitesh/hii/www.travocrm.com/media/background/dot.png	(from https://www.travocrm.com/)
15:32:07	23135/23135	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202023%2010:02:07%20GMT	https://www.travocrm.com/termsandconditions	C:/My%20Web%20Sitesh/hii/www.travocrm.com/termsandconditions.html	(from https://www.travocrm.com/)
15:32:08	21007/21007	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202023%2010:02:08%20GMT	https://www.travocrm.com/privacypolicy	C:/My%20Web%20Sitesh/hii/www.travocrm.com/privacypolicy.html	(from https://www.travocrm.com/)
15:32:08	21245/21245	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202023%2010:02:08%20GMT	https://www.travocrm.com/about	C:/My%20Web%20Sitesh/hii/www.travocrm.com/about.html	(from https://www.travocrm.com/)
15:32:08	14931/14931	---M--	200	added ('OK')	image/png	etag:%223a53-5c39d3c823000%22	https://www.travocrm.com/media/footer/marketing_footer1.png	C:/My%20Web%20Sitesh/hii/www.travocrm.com/media/footer/marketing_footer1.png	(from https://www.travocrm.com/)
15:32:08	60010/60010	---M-Z	200	added ('OK')	application/javascript	etag:%22ea6a-5bc06c8307d80-gzip%22	https://www.travocrm.com/dependencies/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sitesh/hii/www.travocrm.com/dependencies/bootstrap/js/bootstrap.min.js	(from https://www.travocrm.com/)
15:32:08	128898/128898	---M-Z	200	added ('OK')	application/javascript	etag:%221f782-5bc06c8307d80-gzip%22	https://www.travocrm.com/dependencies/swiper/js/swiper.min.js	C:/My%20Web%20Sitesh/hii/www.travocrm.com/dependencies/swiper/js/swiper.min.js	(from https://www.travocrm.com/)
15:32:09	4379/4379	---M-Z	200	added ('OK')	application/javascript	etag:%22111b-5bc06c8307d80-gzip%22	https://www.travocrm.com/dependencies/jquery.appear/jquery.appear.js	C:/My%20Web%20Sitesh/hii/www.travocrm.com/dependencies/jquery.appear/jquery.appear.js	(from https://www.travocrm.com/)
